id_factura;fecha_factura;id_cliente;total_factura
1;2024-12-19;68;20000
2;2024-12-21;68;36000
3;2024-12-21;129;60000
4;2024-12-21;129;120000
5;2025-01-07;98;165000
6;2025-01-07;68;655000
7;2025-01-07;68;107000
8;2025-01-07;68;439000
9;2025-01-07;68;330000
10;2025-01-07;68;233000
11;2025-01-08;68;150000
13;2025-01-08;133;450000
14;2025-01-08;68;187000
15;2025-01-08;68;88000
16;2025-01-08;68;258000
17;2025-01-08;68;64000
18;2025-01-08;68;1132000
19;2025-01-08;68;260000
20;2025-01-08;127;440000
21;2025-01-08;68;197000
22;2025-01-08;68;231000
23;2025-01-08;68;149000
24;2025-01-08;68;356000
25;2025-01-08;68;39000
26;2025-01-08;68;450000
27;2025-01-08;68;249000
28;2025-01-08;68;284000
29;2025-01-08;68;366000
30;2025-01-08;68;91000
31;2025-01-08;68;101000
32;2025-01-08;68;129000
33;2025-01-08;68;380000
34;2025-01-08;68;127000
35;2025-01-08;68;111000
36;2025-01-08;68;790000
37;2025-01-08;68;68000
38;2025-01-08;68;48000
39;2025-01-08;68;595000
40;2025-01-08;68;406000
41;2025-01-09;124;786000
42;2025-01-09;111;727000
43;2025-01-09;322;182000
44;2025-01-09;322;224000
45;2025-01-09;68;674000
46;2025-01-09;68;274000
47;2025-01-09;68;325000
48;2025-01-09;68;275000
49;2025-01-10;68;470000
50;2025-01-10;68;204000
51;2025-01-10;68;557000
52;2025-01-10;68;182000
53;2025-01-10;68;227000
54;2025-01-10;68;455000
55;2025-01-10;68;173000
56;2025-01-10;68;292000
57;2025-01-10;68;128000
58;2025-01-10;68;39000
59;2025-01-10;68;492000
60;2025-01-10;68;123000
61;2025-01-10;68;250000
62;2025-01-10;68;422000
63;2025-01-10;319;938000
64;2025-01-10;31;198000
65;2025-01-10;7;564000
66;2025-01-10;68;222000
67;2025-01-10;68;415000
68;2025-01-10;68;215000
69;2025-01-10;68;418000
70;2025-01-10;68;192000
71;2025-01-10;68;229000
72;2025-01-10;151;846000
73;2025-01-10;68;515000
74;2025-01-10;68;114000
75;2025-01-10;156;308000
76;2025-01-10;68;261000
77;2025-01-10;68;195000
78;2025-01-10;68;308000
79;2025-01-10;68;48000
80;2025-01-11;68;80000
81;2025-01-11;68;135000
82;2025-01-11;320;383000
83;2025-01-11;87;439000
84;2025-01-11;78;87000
85;2025-01-11;64;281000
86;2025-01-11;64;90000
87;2025-01-11;68;177000
88;2025-01-11;68;506000
89;2025-01-11;46;248000
90;2025-01-11;68;313000
91;2025-01-11;2;387000
92;2025-01-11;68;406000
93;2025-01-11;202;397000
94;2025-01-11;68;53000
95;2025-01-11;68;61000
96;2025-01-11;68;205000
97;2025-01-11;68;346000
98;2025-01-11;68;202000
99;2025-01-11;68;325000
100;2025-01-11;68;495000
101;2025-01-11;68;314000
102;2025-01-11;68;477000
103;2025-01-11;305;384000
104;2025-01-13;246;93000
105;2025-01-13;174;509000
106;2025-01-13;185;598000
107;2025-01-13;237;540000
108;2025-01-13;175;597000
109;2025-01-13;68;132000
110;2025-01-13;68;264000
111;2025-01-13;68;69000
112;2025-01-13;68;107000
113;2025-01-13;75;326000
114;2025-01-13;179;461000
115;2025-01-13;68;103000
116;2025-01-13;68;274000
117;2025-01-13;199;429000
118;2025-01-13;68;251000
119;2025-01-13;68;59000
120;2025-01-13;321;137000
121;2025-01-13;68;319000
122;2025-01-13;68;304950
123;2025-01-13;68;80700
124;2025-01-13;68;387000
125;2025-01-13;68;154000
126;2025-01-13;68;272000
127;2025-01-13;68;47000
128;2025-01-13;68;336000
130;2025-01-13;298;401000
131;2025-01-13;68;442000
132;2025-01-13;68;383000
133;2025-01-13;68;235000
134;2025-01-13;68;354000
135;2025-01-13;68;382000
136;2025-01-13;68;500000
137;2025-01-13;68;80000
139;2025-01-13;68;11000
140;2025-01-13;68;84000
