codigo;descripcion;categoria;valor_unitario
C1;C-6 correa 6;Todos;20000
C2;C-8 correa 8;Todos;20000
C3;C-10 correa 10;Todos;20000
C4;C-12 correa 12;Todos;20000
C5;C-14 correa 14;Todos;20000
C6;C-16 correa 16;Todos;20000
C7;C-28 correa 28;Todos;22000
C8;C-30 correa 30;Todos;22000
C9;C-32 correa 32;Todos;22000
C10;C-34 correa 34;Todos;22000
C11;C-36 correa 36;Todos;22000
CB1;CBR-2 camiseta blanca cuello redondo 2;Todos;13000
CB2;CBR-4 camiseta blanca cuello redondo 4;Todos;13000
CB3;CBR-6 camiseta blanca cuello redondo 6;Todos;13000
CB4;CBR-8 camiseta blanca cuello redondo 8;Todos;13000
CB5;CBR-10 camiseta blanca cuello redondo 10;Todos;13000
CB6;CBR-12 camiseta blanca cuello redondo 12;Todos;13000
CB7;CBR-14 camiseta blanca cuello redondo 14;Todos;13000
CB8;CBR-16 camiseta blanca cuello redondo 16;Todos;13000
CB9;CBR-S camiseta blanca cuello redondo S;Todos;15000
CB10;CBR-M camiseta blanca cuello redondo M;Todos;15000
CB11;CBR-L camiseta blanca cuello redondo L;Todos;15000
CB12;CBR-XL camiseta blanca cuello redondo XL;Todos;15000
SAN1;JcgM-6 Camisa Gala niño 6;San Jose;39000
SAN2;JcgM-8 Camisa Gala niño 8;San Jose;40000
SAN3;JcgM-10 Camisa Gala niño 10;San Jose;42000
SAN4;JcgM-12 Camisa Gala niño 12;San Jose;44000
SAN5;JcgM-14 Camisa Gala niño 14;San Jose;46000
SAN6;JcgM-16 Camisa Gala niño 16;San Jose;48000
SAN7;JcgM-XS Camisa Gala niño XS;San Jose;50000
SAN8;JcgM-S Camisa Gala niño S;San Jose;50000
SAN9;JcgM-M Camisa Gala niño M;San Jose;52000
SAN10;JcgM-L Camisa Gala niño L;San Jose;54000
SAN11;JpfM-4 Polo fisica niño 4;San Jose;36000
SAN12;JpfM-6 Polo fisica niño 6;San Jose;37000
SAN13;JpfM-8 Polo fisica niño 8;San Jose;39000
SAN14;JpfM-10 Polo fisica niño 10;San Jose;40000
SAN15;JpfM-12 Polo fisica niño 12;San Jose;42000
SAN16;JpfM-14 Polo fisica niño 14;San Jose;44000
SAN17;JpfM-16 Polo fisica niño 16;San Jose;46000
SAN18;JpfM-S Polo fisica niño S;San Jose;47000
SAN19;JpfM-M Polo fisica niño M;San Jose;48000
SAN20;JpfM-L Polo fisica niño L;San Jose;50000
SAN21;Js-4 Sudaderas 4;San Jose;60000
SAN22;Js-6 Sudaderas 6;San Jose;63000
SAN23;Js-8 Sudaderas 8;San Jose;63000
SAN24;Js-10 Sudaderas 10;San Jose;66000
SAN25;Js-12 Sudaderas 12;San Jose;70000
SAN26;Js-14 Sudaderas 14;San Jose;73000
SAN27;Js-16 Sudaderas 16;San Jose;75000
SAN28;Js-S Sudaderas S;San Jose;78000
SAN29;Js-M Sudaderas M;San Jose;80000
SAN30;Js-L Sudaderas L;San Jose;82000
SAN31;Js-XL Sudaderas XL;San Jose;83000
SAN32;Jb-4 Bermuda 4;San Jose;26000
SAN33;Jb-6 Bermuda 6;San Jose;28000
SAN34;Jb-8 Bermuda 8;San Jose;30000
SAN35;Jb-10 Bermuda 10;San Jose;31000
SAN36;Jb-12 Bermuda 12;San Jose;32000
SAN37;Jb-14 Bermuda 14;San Jose;34000
SAN38;Jb-16 Bermuda 16;San Jose;36000
SAN39;Jb-S Bermuda S;San Jose;37000
SAN40;Jb-M Bermuda M;San Jose;38000
SAN41;Jb-L Bermuda L;San Jose;38000
SAN42;Jb-XL Bermuda XL;San Jose;40000
SAN43;Jp-4 Pantaloneta  4;San Jose;23000
SAN44;Jp-6 Pantaloneta  6;San Jose;24000
SAN45;Jp-8 Pantaloneta  8;San Jose;26000
SAN46;Jp-10 Pantaloneta  10;San Jose;27000
SAN47;Jp-12 Pantaloneta  12;San Jose;29000
SAN48;Jp-14 Pantaloneta  14;San Jose;31000
SAN49;Jp-16 Pantaloneta  16;San Jose;33000
SAN50;Jp-S Pantaloneta  S;San Jose;34000
SAN51;Jp-M Pantaloneta  M;San Jose;35000
SAN52;Jp-L Pantaloneta  L;San Jose;36000
SAN53;Jp-XL Pantaloneta  XL;San Jose;37000
SAN54;Jpl-4 Pantalon largo 4;San Jose;65000
SAN55;Jpl-6 Pantalon largo 6;San Jose;65000
SAN56;Jpl-8 Pantalon largo 8;San Jose;70000
SAN57;Jpl-10 Pantalon largo 10;San Jose;70000
SAN58;Jpl-12 Pantalon largo 12;San Jose;74000
SAN59;Jpl-14 Pantalon largo 14;San Jose;75000
SAN60;Jpl-16 Pantalon largo 16;San Jose;78000
SAN61;Jpl-30 Pantalon largo 30;San Jose;80000
SAN62;Jpl-32 Pantalon largo 32;San Jose;84000
SAN63;Jpl-34 Pantalon largo 34;San Jose;85000
SAN64;Jpl-36 Pantalon largo 36;San Jose;88000
SAN65;Jba-4 Buso azul 4;San Jose;55000
SAN66;Jba-6 Buso azul 6;San Jose;55000
SAN67;Jba-8 Buso azul 8;San Jose;55000
SAN68;Jba-10 Buso azul 10;San Jose;60000
SAN69;Jba-12 Buso azul 12;San Jose;60000
SAN70;Jba-14 Buso azul 14;San Jose;63000
SAN71;Jba-16 Buso azul 16;San Jose;65000
SAN72;Jba-S Buso azul S;San Jose;65000
SAN73;Jba-M Buso azul M;San Jose;68000
SAN74;Jba-L Buso azul L;San Jose;70000
SAN75;Jba-XL Buso azul XL;San Jose;70000
SAN76;Jcj-2 Camiseta Jardin 2;San Jose;18000
SAN77;Jcj-4 Camiseta Jardin 4;San Jose;18000
SAN78;Jcj-6 Camiseta Jardin 6;San Jose;18000
SAN79;Jcj-8 Camiseta Jardin 8;San Jose;18000
SAN80;Jcha-4 Chaqueta 4;San Jose;70000
SAN81;Jcha-6 Chaqueta 6;San Jose;70000
SAN82;Jcha-8 Chaqueta 8;San Jose;75000
SAN83;Jcha-10 Chaqueta 10;San Jose;75000
SAN84;Jcha-12 Chaqueta 12;San Jose;75000
SAN85;Jcha-14 Chaqueta 14;San Jose;80000
SAN86;Jcha-16 Chaqueta 16;San Jose;80000
SAN87;Jcha-S Chaqueta S;San Jose;88000
SAN88;Jcha-M Chaqueta M;San Jose;90000
SAN89;Jcha-L Chaqueta L;San Jose;90000
SAN90;Jcha-XL Chaqueta XL;San Jose;90000
SAN91;Jpc-2 pantalon corto 2;San Jose;40000
SAN92;Jpc-4 pantalon corto 4;San Jose;40000
SAN93;Jpc-6 pantalon corto 6;San Jose;42000
SAN94;Jpc-8 pantalon corto 8;San Jose;44000
SAN95;Jpc-10 pantalon corto 10;San Jose;46000
SAN96;Jpc-12 pantalon corto 12;San Jose;46000
SAN97;Jpc-14 pantalon corto 14;San Jose;46000
SAN98;Jcor-10 corbata 10;San Jose;22000
SAN99;Jcor-12 corbata 12;San Jose;24000
SAN100;Jcor-14 corbata 14;San Jose;24000
SAN101;Jcor-16 corbata 16;San Jose;24000
SAN102;Jcorb-uni corbatin uni;San Jose;13000
SAN103;Jblud-4 Blusa diario 4;San Jose;38000
SAN104;Jblud-6 Blusa diario 6;San Jose;38000
SAN105;Jblud-8 Blusa diario 8;San Jose;40000
SAN106;Jblud-10 Blusa diario 10;San Jose;42000
SAN107;Jblud-12 Blusa diario 12;San Jose;42000
SAN108;Jblud-14 Blusa diario 14;San Jose;44000
SAN109;Jblud-16 Blusa diario 16;San Jose;46000
SAN110;Jblud-XS Blusa diario XS;San Jose;47000
SAN111;Jblud-S Blusa diario S;San Jose;47000
SAN112;Jblud-M Blusa diario M;San Jose;48000
SAN113;Jblud-L Blusa diario L;San Jose;49000
SAN114;Jblud-XL Blusa diario XL;San Jose;50000
SAN115;Jblug-4 Blusa de gala 4;San Jose;40000
SAN116;Jblug-6 Blusa de gala 6;San Jose;42000
SAN117;Jblug-8 Blusa de gala 8;San Jose;42000
SAN118;Jblug-10 Blusa de gala 10;San Jose;44000
SAN119;Jblug-12 Blusa de gala 12;San Jose;46000
SAN120;Jblug-14 Blusa de gala 14;San Jose;47000
SAN121;Jblug-16 Blusa de gala 16;San Jose;48000
SAN122;Jblug-XS Blusa de gala XS;San Jose;50000
SAN123;Jblug-S Blusa de gala S;San Jose;50000
SAN124;Jblug-M Blusa de gala M;San Jose;50000
SAN125;Jblug-L Blusa de gala L;San Jose;53000
SAN126;Jblug-XL Blusa de gala XL;San Jose;55000
SAN127;JpfF-4 Polo fisica niña 4;San Jose;36000
SAN128;JpfF-6 Polo fisica niña 6;San Jose;37000
SAN129;JpfF-8 Polo fisica niña 8;San Jose;39000
SAN130;JpfF-10 Polo fisica niña 10;San Jose;40000
SAN131;JpfF-12 Polo fisica niña 12;San Jose;42000
SAN132;JpfF-14 Polo fisica niña 14;San Jose;44000
SAN133;JpfF-16 Polo fisica niña 16;San Jose;46000
SAN134;JpfF-S Polo fisica niña S;San Jose;47000
SAN135;JpfF-M Polo fisica niña M;San Jose;48000
SAN136;JpfF-L Polo fisica niña L;San Jose;50000
SAN137;JpfF-XL Polo fisica niña XL;San Jose;52000
