id_factura;id_cliente;id_producto;cantidad;total;nota
5;98;165;1;48000;no
5;98;323;1;47000;no
5;98;48;1;70000;no
6;68;314;2;62000;no
6;68;349;2;136000;no
6;68;303;2;102000;no
6;68;361;1;33000;no
6;68;237;2;140000;no
6;68;208;2;82000;pte
6;68;380;1;11000;no
6;68;385;1;11000;no
6;68;248;1;78000;no
7;68;1;1;20000;no
7;68;121;1;22000;no
7;68;78;1;65000;no
8;68;243;1;65000;no
8;68;188;2;74000;no
8;68;332;2;52000;no
8;68;227;2;98000;no
8;68;344;2;110000;no
8;68;377;2;20000;no
8;68;382;2;20000;no
9;68;50;1;75000;no
9;68;61;1;36000;no
9;68;41;1;47000;no
9;68;167;2;100000;no
9;68;30;1;50000;no
9;68;8;1;22000;no
10;68;101;3;54000;no
10;68;45;2;126000;no
10;68;68;1;26000;no
10;68;175;3;27000;no
11;68;30;1;50000;no
13;133;51;1;78000;no
13;133;73;1;34000;no
13;133;158;1;48000;no
13;133;20;3;45000;no
13;133;133;2;94000;no
13;133;145;1;50000;no
13;133;491;1;90000;no
13;133;178;1;11000;no
14;68;167;3;150000;no
14;68;62;1;37000;no
15;68;130;1;42000;no
15;68;142;1;46000;no
16;68;168;1;53000;no
16;68;41;1;47000;no
16;68;51;1;78000;no
16;68;84;1;80000;no
17;68;347;1;64000;no
18;68;304;2;106000;no
18;68;314;2;62000;no
18;68;74;2;70000;no
18;68;52;1;80000;no
18;68;53;1;82000;no
18;68;238;2;142000;no
18;68;239;2;144000;no
18;68;380;8;88000;no
18;68;380;2;22000;no
18;68;209;8;336000;no
19;68;219;1;41000;no
19;68;237;2;140000;no
19;68;349;1;68000;no
19;68;380;1;11000;no
20;127;181;3;30000;no
20;127;377;2;20000;no
20;127;227;2;98000;no
20;127;188;2;74000;no
20;127;243;1;65000;no
20;127;344;1;55000;no
20;127;332;1;26000;no
20;127;321;1;43000;no
20;127;367;1;29000;no
21;68;52;1;80000;no
21;68;168;2;106000;no
21;68;385;1;11000;no
22;68;168;2;106000;no
22;68;41;1;47000;no
22;68;51;1;78000;no
23;68;476;2;84000;no
23;68;498;1;65000;no
24;68;350;1;70000;no
24;68;380;2;22000;no
24;68;383;2;20000;no
24;68;378;2;20000;no
24;68;335;1;30000;no
24;68;324;1;48000;no
24;68;235;1;65000;no
24;68;196;1;39000;pte
24;68;209;1;42000;pte
25;68;388;1;29000;no
25;68;519;1;10000;no
26;68;376;1;9000;no
26;68;381;1;9000;no
26;68;253;1;75000;no
26;68;265;1;70000;no
26;68;320;1;42000;no
26;68;342;1;50000;no
26;68;187;3;105000;no
26;68;225;2;90000;no
27;68;36;1;39000;no
27;68;46;1;63000;no
27;68;56;1;28000;no
27;68;162;1;42000;no
27;68;116;1;42000;no
27;68;180;1;9000;no
27;68;15;2;26000;no
28;68;379;2;22000;no
28;68;313;1;30000;no
28;68;347;1;64000;no
28;68;235;1;65000;no
28;68;359;1;32000;no
28;68;302;1;49000;pte
28;68;384;2;22000;no
29;68;266;1;75000;no
29;68;344;1;55000;no
29;68;332;1;26000;no
29;68;189;2;76000;no
29;68;227;1;49000;no
29;68;377;1;10000;no
29;68;368;1;31000;no
29;68;322;1;44000;no
30;68;378;2;20000;no
30;68;313;1;30000;no
30;68;197;1;41000;no
31;68;465;1;56000;no
31;68;432;1;45000;pte
32;68;155;1;44000;no
32;68;490;1;85000;pte
33;68;361;1;33000;no
33;68;304;1;53000;no
33;68;350;1;70000;no
33;68;260;1;90000;no
33;68;237;1;70000;no
33;68;209;1;42000;pte
33;68;379;2;22000;no
34;68;41;1;47000;no
34;68;52;1;80000;no
35;68;470;1;70000;no
35;68;448;1;30000;no
35;68;384;1;11000;no
36;68;260;1;90000;no
36;68;270;1;83000;no
36;68;348;2;132000;no
36;68;236;2;134000;no
36;68;359;1;32000;no
36;68;314;2;62000;no
36;68;379;2;22000;no
36;68;383;1;10000;no
36;68;303;2;102000;pte
36;68;208;3;123000;no
37;68;232;1;58000;no
37;68;382;1;10000;no
38;68;425;1;48000;no
39;68;383;2;20000;no
39;68;378;2;20000;no
39;68;267;1;75000;no
39;68;346;2;122000;no
39;68;234;2;126000;no
39;68;323;2;94000;no
39;68;334;1;28000;no
39;68;195;2;78000;no
39;68;59;1;32000;no
40;68;1;1;20000;no
40;68;496;1;60000;no
40;68;162;1;42000;no
40;68;35;1;37000;no
40;68;45;1;63000;no
40;68;56;1;28000;no
40;68;104;1;70000;no
40;68;89;1;55000;no
40;68;121;1;22000;no
40;68;180;1;9000;no
41;124;349;1;68000;no
41;124;361;1;33000;no
41;124;314;1;31000;no
41;124;304;1;53000;no
41;124;379;2;22000;no
41;124;237;2;140000;no
41;124;271;1;85000;no
41;124;344;1;55000;no
41;124;377;2;20000;no
41;124;382;3;30000;no
41;124;266;1;75000;no
41;124;189;2;76000;no
41;124;227;2;98000;no
42;111;519;3;30000;no
42;111;520;3;30000;no
42;111;488;2;150000;no
42;111;433;3;144000;no
42;111;466;2;116000;no
42;111;412;2;88000;no
42;111;389;1;30000;no
42;111;390;1;31000;no
42;111;445;2;60000;no
42;111;433;1;48000;no
43;322;81;1;74000;no
